Name,Address,Phone,ContactName,EmailAddress,Website,Details,Services,AgeRequirements,OperationTime
Clara Verner Senior Activity Center,101 Old Hackberry LaneTuscaloosa AL 35401,(205) 349-1202,Rose Hughes,NOMAIL,http://www.focusonseniorcitizens.org/,FOCUS on Senior Citizens hosts three nutrition activity centers in Tuscaloosa County and serves more than 46000 meals each year. Our nutrition sites provide a comfortable social climate a hot balanced meal nutrition/consumer education health screening recreation and activities. Tuscaloosa County seniors age 60 and older are invited to participate in the program Monday through Friday between 9:00 AM and 1:00 PM. This suggested donation for the meal is $1.25 and the suggested donation for round-trip transportation to the site is $1.00.,,Meals; Nutrition/Consumer Education; Health Screening; Recreation and Activities.,60+ years,Mon - Fri: 9:00 am - 1:00 pm
McAbee Senior Activity Center,3801 Loop RoadTuscaloosa AL 35404,(205) 553-3133,Doris Young,NOMAIL,http://www.focusonseniorcitizens.org/,FOCUS on Senior Citizens hosts three nutrition activity centers in Tuscaloosa County and serves more than 46000 meals each year. Our nutrition sites provide a comfortable social climate a hot balanced meal nutrition/consumer education health screening recreation and activities. Tuscaloosa County seniors age 60 and older are invited to participate in the program Monday through Friday between 9:00 AM and 1:00 PM. This suggested donation for the meal is $1.25 and the suggested donation for round-trip transportation to the site is $1.00.,,Meals; Nutrition/Consumer Education; Health Screening; Recreation and Activities.,60+ years,Mon - Fri: 9:00 am - 1:00 pm
Robertson Tower Senior Activity Center,312 19th AveTuscaloosa AL 35401,(205) 553-3133,Sheila Jones,NOMAIL,"data-table",,,Meals; Nutrition Health and Public Education Programs and Activities,60+ years,Mon - Fri: 9:00 am - 1:00 pm
Southside Senior Activity Center,2700 Martin Luther King Jr. BlvdTuscaloosa AL 35401,(205) 248-9994,Fannie Love,NOMAIL,http://www.focusonseniorcitizens.org/,FOCUS on Senior Citizens hosts three nutrition activity centers in Tuscaloosa County and serves more than 46000 meals each year. Our nutrition sites provide a comfortable social climate a hot balanced meal nutrition/consumer education health screening recreation and activities. Tuscaloosa County seniors age 60 and older are invited to participate in the program Monday through Friday between 9:00 AM and 1:00 PM. This suggested donation for the meal is $1.25 and the suggested donation for round-trip transportation to the site is $1.00.,,Meals; Nutrition/Consumer Education; Health Screening; Recreation and Activities.,60+ years,Mon - Fri: 9:00 am - 1:00 pm
Littleville Senior Center,1400 Jackson HighwayTuscumbia AL 35674,(256) 332-4711,Wonell Whitlock,NOMAIL,"data-table",,,,60+ years,Mon - Fri: 8:30 am - 1:00 pm
Tuscumbia Multi-Purpose Center,601 N. CommonsTuscumbia AL 35674,(256) 386-5660,Linda Campbell,NOMAIL,"data-table",,,,60+ years,Mon - Fri: 8:30 am - 12:30 pm
Tuskegee Senior Citizens Center,802 Crawford StTuskegee AL 36083,(334) 724-2137,Florence Pace-Tyner,ftyner@tuskegeealabama.gov,http://www.tuskegeealabama.gov/,The Tuskegee Senior citizens Department City of Tuskegee; in partnership with South Central Alabama Development Commission Area Agency on Aging provides a myriad of services for individuals 60 years of age and older.,,Information and Assistance; Outreach; Transportation and Assisted Transportation; Congregate and Home Delivered Meals; Nutrition Education; Recreation; Health Promotion; Legal Assistance; Telephone Reassurance; Ombudsman/Complaint Resolution; Senior Aide Program,60+ years,Mon - Fri: 9:00 am - 1:00 pm
Warriorstand Senior Center,395 County Road 5Tuskegee AL 36860,(334) 724-9520,,NOMAIL,"data-table",,,,,Mon - Fri: 9:00 am - 1:00 pm
Union Hill Senior Center,11 Union Hill Loop RdUnion Grove AL 35175,(256) 498-3860,,NOMAIL,http://www.co.morgan.al.us,Commission on Aging is a program designed to provide services for the senior citizens of Morgan County. The centers are open daily from 8am until 1pm. Lunch is served as part of a USDA Nutrition program for both the people that come to the centers and our homebound elderly each day. Anyone who is sixty years of age (or married to someone that is sixty years of age) is eligible to participate in the activities at the senior centers. Activities include games quilting puzzles day trips exercise classes and just about anything that the group wants to do. The environment is safe and friendly,,Meals; Games; Quilting; Puzzles; Day Trips; Exercise Classes,60+ years,Mon - Fri: 8:00 am - 1:00 pm
City/County Multipurpose Senior Center,204 Baskin StreetUnion Springs AL 36089,(334) 738-5120,,NOMAIL,"data-table",,,,,Mon - Fri: 8:00 am - 2:00 pm
Uniontown Senior Center,Intersection of Co Rd 12 &amp; Hwy 183 - Lucian StUniontown AL 36786,(334) 628-3701,,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
Valley Senior Center,504 Combs StreetValley AL 36854,(334) 756-5265,Ron Fancher,rfancher@cityofvalley.com,http://www.cityofvalley.com,To become a participant in the Senior Center Program you must be sixty (60) years of age and live in the city limits of Valley,,Meals; Transportation; Trips; Games; Exercise; Parties; Bingo,60+ years,Mon - Fri: 9:00 am - 2:00 pm
Vandiver-Sterrett Senior Center,12205 Hwy 43Vandiver AL 35147,(205) 672-8040,Edna Weldon,NOMAIL,"data-table",,,,,
Vernon Senior Activity Center,230 Strickland CircleVernon AL 35592,(205) 695-7122,Tobi Higgins,NOMAIL,"data-table",,,Meals; Nutrition Health and Public Education Programs and Activities,60+ years,Mon - Fri: 8:30 am - 12:30 pm
Vina Senior Center,7053 Hwy 19Vina AL 35593,(256) 356-4908,Dorothy Kinard,NOMAIL,http://vinaalabama.org,The community center was completed in 2006. The center is enjoyed by the senior citizens of the community for lunch three days per week. It is an excellent meeting place.,,,60+ years,Mon Wed Fri: 8:00 am - 12:00 pm
Vincent Senior Center,19 John Sparkman CourtVincent AL 35178,(205) 672-7697,Dolly Riggins,NOMAIL,"data-table",,,Games; Exercise; Lunch; Computers,,Mon - Fri: 9:00 am - 1:00 pm
West Point Senior Center,3990 County Rd 1141Vinemont AL 35179,(256) 734-0282,Sandra Griggs,NOMAIL,http://www.cullmancoa.com,Cullman County Senior Centers are a valuable asset to each community. The Cullman County Commission and the Commission on Aging appreciates the retirees and seniors of Cullman County for helping establish this strong sense of community that we all enjoy. This fact makes these community centers a vital part of our responsibility. Stop by one and you will see arts crafts meals music and more,,Arts; Crafts; Meals; Music,,Mon - Fri: 8:00 am - 1:00 pm
Vredenburgh Senior Center,72 Beech StreetVredenburgh AL 36481,(334) 337-4579,,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
Wagarville Senior Center,27531 Hwy 56Wagarville AL 36585,(251) 246-9631,,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
Walnut Grove Senior Center,5151 Walnut Grove RoadWalnut Grove AL 35990,(205) 589-6001,Brenda Garrard,NOMAIL,"data-table",,,,,
Waterloo Multi-Purpose Senior Center,8501 Co Rd 14Waterloo AL 35677,(256) 764-1960,Cheryl Sharp,NOMAIL,"data-table",,,,60+ years,Mon - Fri: 8:30 am - 12:30 pm
Waverly Senior Center,2094 Patrick StreetWaverly AL 36879,(334) 887-6453,Renita Johnson,NOMAIL,"data-table",,,,,
Weaver Senior Center,406 Anniston StreetWeaver AL 36277,(256) 820-5049,Anna Allison,seniorcitizens@weaver-alabama.org,http://www.weaver-alabama.org,The City of Weaver is one of the few Municipalities in Calhoun County to offer a full time Senior Center. Our Seniors enjoy arts and craft activities instructional seminars reduced cost lunch and a trained bus driver to transport them to and from the center safely.,,Arts and Craft Activities; Instructional Seminars; Reduced Cost Lunch; Transportation,,
Webb Senior Center,4095 Enon RoadWebb AL 36376,(334) 702-8449,Pam Martin,webbsc@graceba.net,"data-table",,,Hot Meals; Home Delivered Meals; Transportation; Quilting; Sewing; Dominoes; Field Trip; Special Entertainment; Monthly Birthday Parties; Valentine Banquets; Easter Egg Hunt; Thanksgiving &amp; Christmas Luncheons,60+ years,Mon - Fri: 8:30 am - 1:30 pm
Wedowee Senior Center,24 North Main StreetWedowee AL 36278,(256) 357-2432,Shantell Terrell,wedoweesc@gmail.com,"data-table",We are proud to be a small town Senior Center with a BIG ole' heart for our precious Seniors!!,,,,Mon - Fri: 8:00 am - 2:00 pm
Wetumpka Senior Center,120 Cotton StWetumpka AL 36092,(334) 567-1335,Mary Ann Barrett,NOMAIL,http://www.cityofwetumpka.com,The mission of Wetumpka's "Prime Time 55+" Senior Enrichment Center is to provide programs and services to adults 55 and over. Programs and activities promote the well being of older adults and increases socialization with others. Life-long learning in a fun and safe environment is the daily goal of Wetumpka's Senior Center.,,Walking DVD; Rummikub Cards; Devotional; Bridge; Dominoes; Line Dancing,55+ years,
Winfield Weekday Seniors Program,400 Community StreetWinfield AL 35594,(256) 487-3552,Susan O’Mary,NOMAIL,http://winfieldparkandrec.org/,A senior citizens program is available on weekday mornings at the Winfield Community Center. Activities include but are not limited to: bingo cards singing pool walking and lunch. In addition meals are also delivered to those unable to come to the center.,,Bingo; Cards; Singing; Pool; Walking; Lunch,60+ years,Mon - Fri: 8:30 am - 12:30 pm
Woodland Senior Center,646 County Road 51Woodland AL 36280,(256) 449-2639,Lisa Cummings,NOMAIL,"data-table",,,,,
Woodstock Senior Activity Center,28513 Highway 5Woodstock AL 35188,(205) 938-7004,Gail Cook,NOMAIL,http://www.townofwoodstockal.com/,Woodstock has a number of very active seniors who come to the Woodstock Senior Center for lunch. They fed between 25 and 30 people each day. The center offers a social time of seniors gathering to spend time with each other and to reflect on current and past events of their town. In addition to a social gathering it offers a wide variety of activities. Each day you can find seniors citizens playing cards bingo dominoes etc,,Meals; Cards; Bingo; Dominoes,60+ years,Mon - Fri: 9:00 am - 1:00 pm
Anchorage Senior Activity Center,1300 East 19th AvenueAnchorage AK 99501,(907) 770-2000,Rebecca Parker,rparker@anchorageseniorcenter.org,http://www.anchorageseniorcenter.org,The Anchorage Senior Activities Center enhances the quality of life for people 50+ years old in the Anchorage area by providing a gathering place with opportunities for recreation education socializing and exploration. Visitors are always welcome and facility tours are available. The Senior Center is a scent-free facility for all including staff members volunteers and visitors. Please wear only unscented personal products within the Center building. The mission of the Anchorage Senior Activity Center is to enhance the quality of life of seniors by managing a well-equipped facility with a skilled staff who promote fitness health and social interaction in a wide range of activities and services,To be a voting member you must be 50 years old or older. All others are eligible for associate memberships. A single person membership is $75. A married couple or two persons at the same address $135. Low income membership are available to qualifying individuals. You gain access to all the programs offered by the Center. Many Center programs are free but some have participant fees: Monthly newsletter Senior Borealis; Assistance with financial planning long-term care housing and other social service needs; Free notary service; Information on health issues and services; Medicare/Medcaid Information and Assistance; Fitness Club; Reduced travel rates and group tours; Art and craft areas with classes and supplies; Memorial service; Socialization with other seniors; The ability to participate in Center policy making through committee membership and voting at annual meeting; Special classes in the arts fitness computers and more; Potlucks dances games… and much more!,AARP Driver Safety Training; Acrylics Oils &amp; Pastels; ASAC Chorus; Bible Study; Bingo; Blood Pressure Check; Book Sale; Brain Games; Breakfast; Bridge; Bridge Lessons; Canasta Game; Cell Phone 101 Workshop; Chair Exercise; Chair Yoga; Circuit Workouts; Craft N Chat; Dance Cardio; Dominoes-Mexican Train; Fabric Sale; Fitness Exercise; Glucose Monitoring; Hand and Foot; Handwriting Analysis Class; Hearing Screening; Information and Assistance; Intro To Belly Dancing; Learn to Knit; Library; Lunch; Mahjong Game; Movie Matinee; Open Computer Lab; Pilates/Core; Pinochle; Pool/Billiards; Scrabble; Tai Chi; Watercolor Group; Weight Training and Exercise; Yoga; Zen Art; Zumba Gold,50+ years,Mon Wed Fri: 8:00 am - 5:00 pm; Tues Thurs: 8:00 am - 8:00 pm
Mabel T. Caverly Senior Center,509 W. 3rdAve Ste 103Anchorage AK 99501,(907) 276-1496,Denise Knapp,director@mabeltcaverly.org,http://www.mabeltcaverly.org/,The mission of Mabel T. Caverly Senior Center and Services is to provide support to individuals 55 or older by identifying their emotional and socialization needs; plan and promote programs to meet those needs and provide a range of services that directly and positively impact their well-being. We additionally provide information referral and outreach as part of our needs-assessment process - emphasizing socialization entertainment and education.,Your annual $25 membership goes a long way! MTC Senior Center members receive preference when qualified for both grant and other financial programs. You receive an informative monthly newsletter. You receive preference when scheduling van transportation. You receive invitations for all of our events usually eight or more a year. In the past members have received gifts store gift certificates turkeys and hams at holidays and more. Center advice and referrals to other agencies.,Annual Spring Raffle; Socials; Parcel Post Party; PATCHES; Anchorage Senior Friendly Project; Food Pantry; DEAP; Transportation,55+ years,
Angoon Shu Senior Center,812 Xootz RoadAngoon AK 99820,(907) 788-3804,,AngoonSCr@ccsjuneau.org,https://www.ccsjuneau.org/,Many older adults and their families are struggling to bridge the gaps between work and retirement full independence and limited support good health and chronic conditions. Senior centers are instrumental in bridging those gaps. Local senior centers have regular operating hours and are often the community's focal point for older adult services. The senior center provides excellent opportunities for socialization relaxation and participation in a variety of programs and activities. Senior centers throughout Southeast Alaska offer a wide range of programs and activities for older adults services which may include congregate meals transportation education counseling activities and health screenings. Senior Centers and the service programs they offer provide a link with local community resources available to older persons.,,Hot nutritious meals at the senior center; Home-delivered meals for seniors recovering from illness or surgery; Door-to-door transportation; Shopping assistance and other errands; Health maintenance activities; Social and cultural activities; Family Caregiver Support; Case Management,60+ years,Mon - Fri: 8:00 am - 1:00 pm
Chugiak-Eagle River Senior Center,22424 N Birchwood LoopChugiak AK 99567,(907) 688-2677,Linda Hendrickson,execdir@mtaonline.net,http://www.chugiak.org/,The Chugiak-Eagle River Senior Center exists to provide quality services and facilities to meet the needs of seniors in our community through effective stewardship and program development. Chugiak Senior Citizens Inc. (CSCI) is a 501(c)(3) non-profit organization that was incorporated in 1975 for the purpose of fulfilling the Older Americans Act of 1965 for citizens 55 years or older living in the Chugiak-Eagle River area. CSCI serves as the Management Corporation for the Chugiak-Eagle River Senior Center (CERSC) Chugiak Senior Housing Inc. (CSHI) and related senior support programs. The organization is managed by an all-volunteer eleven-member Board of Directors elected by the membership,Membership Fee: $30 for individual membership; $45 for couple's membership; $150 for a lifetime membership; $225 for lifetime couple's membership. As a member you will receive the Chugiak-Eagle River Senior Center monthly Senior Edition newsletter. The newsletter contains a monthly calendar of events daily lunch menu services health and wellness information and information about visiting professionals such as attorneys opticians tax people hearing specialists and even pharmacists that provide free services. You can elect to have the newsletter e-mailed to you. To receive the newsletter by e-mail contact Monika at 907-688-2683 or by e-mail at <a class="__cf_email__" data-cfemail="2043534341444d604d54414f4e4c494e450e4e45540e" href="/cdn-cgi/l/email-protection">[email protected]</a> As a member you will receive a discount on many of the Center ‘s special events including the cost of brunches and most special event dinners. Free notary service is also available. As a member you are eligible and encouraged to vote in the annual November election of the Center’s board members. In addition we provide volunteer opportunities year-round. As a member you are also eligible to participate fully in our Wellness Program classes and receive discounts on CERSC gym membership.,Personal Care Attendant Agency; Adult Day Services; Activities: Pinochle Cribbage Bridge Bingo; Food Services; Health &amp; Wellness Program: Centering Class Zumba Circuit Training Tai Chi Yoga Wellness Clinics Strong Seniors Brain Fitness Health Outreach Potlucks Sing-A-Long; Senior Housing; Transportation; Meals on Wheels,55+ years,Mon - Fri: 8:30 am - 5:00 pm
Dillingham Senior Citizen Center,515 1st Avenue EastDillingham AK 99576,(907) 842-1231,Ida Noonkesser,seniorcenter@dillinghamak.us,http://www.dillinghamak.us,The Dillingham Senior Citizen Center operated by the City of Dillingham serves healthy hot lunches Monday through Friday and offers various activities and social events for senior citizens disabled residents and the community in general. In addition to its dining room the center features an exercise room puzzle/game room a social area with television DVD player and radio a computer lab with internet access and a sun room with lots of greenery. The Senior Center shuttle offers rides to the hospital housing post office and grocery stores. Staff can assist seniors with paperwork such as Social Security and Medicare forms and heating assistance applications. During the weekends and evenings the facility can be rented for various community functions. The rental fees help support Senior Center services.,,Hot Lunches; Activities and Social Events; Rides to the Hospital Housing Post Office and Grocery Stores; Assistance with paperwork such as Social Security and Medicare forms and Heating Assistance Applications,60+ years,Mon - Fri: 9:00 am - 3:00 pm
Douglas Senior Center,1106 3rd StDouglas AK 99824,(907) 364-3161,,NOMAIL,https://www.ccsjuneau.org/,Many older adults and their families are struggling to bridge the gaps between work and retirement full independence and limited support good health and chronic conditions. Senior centers are instrumental in bridging those gaps. Local senior centers have regular operating hours and are often the community's focal point for older adult services. The senior center provides excellent opportunities for socialization relaxation and participation in a variety of programs and activities. Senior centers throughout Southeast Alaska offer a wide range of programs and activities for older adults services which may include congregate meals transportation education counseling activities and health screenings. Senior Centers and the service programs they offer provide a link with local community resources available to older persons.,,Congregate Meals at the Senior Center; Home-Delivered Meals (Meals on Wheels); Door-To-Door Transportation (Care-A-Van); Health Promotion Activities; Social &amp; Cultural Activities; Counseling; Gatekeeper Program,60+ years,Tues Thurs: 12:00 am - 1:00 pm
Fairbanks Senior Center,1424 Moore StFairbanks AK 99701,(907) 452-1735,Darlene Suplee,nscoa.newsletter@alaska.net,https://fairbanksseniorcenter.org/,Fairbanks Senior Center officially entitled The North Star Council on Aging  is a non-profit organization established in 1973. We are supported by volunteer workers and private and corporate donations. Federal State and local government grants help defray a portion of our costs.,Membership &amp; Fees: Single $25 or $35 Couple. Members vote on bylaws organizational changes elect Board Members and receive a monthly newsletter.,Meals on Wheels; Transportation; Homemaker Service; Senior Companion Program; Crafts; Arts; Games; Exercise Classes: Strong Women Class 55+Senior Yoga Classes Seated Zumba Chair Class Tai Chi For Arthritis and Falls Prevention Qigong Classes; Computer Classes &amp; LAB; iPhone &amp; iPad training class,55+ years,Mon - Fri: 8:00 am - 4:30 pm
Haines Senior Center,33 Mission StreetHaines AK 99827,(907) 766-2383,,HainesSC@ccsjuneau.org,https://www.ccsjuneau.org/,Many older adults and their families are struggling to bridge the gaps between work and retirement full independence and limited support good health and chronic conditions. Senior centers are instrumental in bridging those gaps. Local senior centers have regular operating hours and are often the community's focal point for older adult services. The senior center provides excellent opportunities for socialization relaxation and participation in a variety of programs and activities. Senior centers throughout Southeast Alaska offer a wide range of programs and activities for older adults services which may include congregate meals transportation education counseling activities and health screenings. Senior Centers and the service programs they offer provide a link with local community resources available to older persons.,,Hot nutritious meals at the senior center (congregate meals); Home-delivered meals for seniors unable to attend congregate meals at the senior center; Health maintenance activities; Social and cultural activities; Door-to-door transportation for individuals over 60 years of age; Shopping assistance and other errands; Senior Information/Caregiver Resource Center,60+ years,Mon - Thurs: 8:00 am - 2:00 pm
Homer Senior Citizens Center,3935 Svedlund StHomer AK 99603,(907) 235-7655,Keren Kelley,info@homerseniors.com,http://homerseniors.org/,Homer Senior Citizens was incorporated in November 1973 as a non-profit corporation. HSC for the past 44 years HSC has been a leader in providing programs for senior citizens in the Homer area. By working towards providing a senior campus that provides services access to programs that benefits seniors. Supporting other organizations that provide these services or providing information on organizations that provide senior services. Providing either direct or indirectly a continuum of care for seniors at the lowest possible cost so they will not have to move from the community. Funded through donations membership dues Kenai Peninsula Borough United Way and State of Alaska grants we provide services to enhance the seniors in our community. Membership has its benefits. Our Monthly Newsletter highlights upcoming activities and events.,We offer three different membership options for your benefit. Regular Membership: Seniors must be 55 years of age or older. One Year Membership Fee: $30 (January - December) Lifetime Membership Fee: $300 (One time fee); Associate Membership: Individuals under 55 years of age. No voting privileges. One Year Membership Fee: $25 (Per Person); Business Membership: Organization Membership. No voting privileges. One Year Membership Fee: $100 (Annually),Housing (assisted and independent); Adult Day Services; Nutrition; Transportation; Meals On Wheels; Social Activities: Strong Women Party Bridge ZUMBA Gold Tai Chi Parkinson’s Group Duplicate Bridge Caregiver SG,55+ years,Mon - Fri: 9:00 am - 4:00 pm
